GT01_Org: 299.779000s GT01_Dsz: 145.718000s GT01_Dsz_avr: 173.703000s
GT02_Org: 506.303000s GT02_Dsz: 170.761000s GT02_Dsz_avr: 164.943000s
GT03_Org: 461.508000s GT03_Dsz: 147.801000s GT03_Dsz_avr: 140.815000s
GT04_Org: 718.821000s GT04_Dsz: 264.185000s GT04_Dsz_avr: 296.838000s
GT05_Org: 270.139000s GT05_Dsz: 110.487000s GT05_Dsz_avr: 103.665000s
GT06_Org: 318.993000s GT06_Dsz: 125.091000s GT06_Dsz_avr: 121.996000s
GT07_Org: 325.136000s GT07_Dsz: 127.698000s GT07_Dsz_avr: 124.642000s
GT08_Org: 689.837000s GT08_Dsz: 225.658000s GT08_Dsz_avr: 247.088000s
GT09_Org: 599.012000s GT09_Dsz: 172.476000s GT09_Dsz_avr: 183.797000s
GT10_Org: 312.225000s GT10_Dsz: 107.117000s GT10_Dsz_avr: 110.108000s
GT11_Org: 478.744000s GT11_Dsz: 153.447000s GT11_Dsz_avr: 168.628000s
GT12_Org: 283.139000s GT12_Dsz: 104.688000s GT12_Dsz_avr: 122.759000s
GT13_Org: 435.757000s GT13_Dsz: 155.037000s GT13_Dsz_avr: 144.613000s
GT14_Org: 231.353000s GT14_Dsz: 93.260000s GT14_Dsz_avr: 94.551000s
GT15_Org: 298.335000s GT15_Dsz: 113.513000s GT15_Dsz_avr: 128.232000s
GT16_Org: 395.607000s GT16_Dsz: 149.117000s GT16_Dsz_avr: 154.263000s
GT17_Org: 381.089000s GT17_Dsz: 161.315000s GT17_Dsz_avr: 157.417000s
GT18_Org: 323.903000s GT18_Dsz: 119.222000s GT18_Dsz_avr: 126.407000s
GT19_Org: 364.144000s GT19_Dsz: 153.123000s GT19_Dsz_avr: 155.616000s
GT20_Org: 366.139000s GT20_Dsz: 123.099000s GT20_Dsz_avr: 123.353000s
GT21_Org: 570.899000s GT21_Dsz: 171.285000s GT21_Dsz_avr: 197.060000s
GT22_Org: 400.014000s GT22_Dsz: 113.447000s GT22_Dsz_avr: 124.810000s
GT23_Org: 290.652000s GT23_Dsz: 112.533000s GT23_Dsz_avr: 118.686000s
GT24_Org: 398.076000s GT24_Dsz: 177.289000s GT24_Dsz_avr: 198.635000s
GT25_Org: 848.090000s GT25_Dsz: 370.925000s GT25_Dsz_avr: 325.451000s
GT26_Org: 943.151000s GT26_Dsz: 366.381000s GT26_Dsz_avr: 427.481000s
GT27_Org: 745.236000s GT27_Dsz: 262.357000s GT27_Dsz_avr: 243.181000s
