GT01_Org: 258.473000s GT01_Dsz: 123.495000s GT01_Dsz_avr: 120.157000s
GT02_Org: 471.619000s GT02_Dsz: 182.764000s GT02_Dsz_avr: 181.717000s
GT03_Org: 509.641000s GT03_Dsz: 169.622000s GT03_Dsz_avr: 142.464000s
GT04_Org: 638.354000s GT04_Dsz: 240.576000s GT04_Dsz_avr: 254.249000s
GT05_Org: 279.541000s GT05_Dsz: 110.685000s GT05_Dsz_avr: 105.895000s
GT06_Org: 279.414000s GT06_Dsz: 125.397000s GT06_Dsz_avr: 137.363000s
GT07_Org: 317.928000s GT07_Dsz: 147.135000s GT07_Dsz_avr: 139.588000s
GT08_Org: 623.846000s GT08_Dsz: 182.754000s GT08_Dsz_avr: 165.188000s
GT09_Org: 544.099000s GT09_Dsz: 212.537000s GT09_Dsz_avr: 158.971000s
GT10_Org: 254.581000s GT10_Dsz: 100.690000s GT10_Dsz_avr: 109.533000s
GT11_Org: 468.554000s GT11_Dsz: 166.305000s GT11_Dsz_avr: 171.181000s
GT12_Org: 294.297000s GT12_Dsz: 117.462000s GT12_Dsz_avr: 123.651000s
GT13_Org: 413.448000s GT13_Dsz: 131.301000s GT13_Dsz_avr: 134.387000s
GT14_Org: 204.531000s GT14_Dsz: 79.431000s GT14_Dsz_avr: 79.931000s
GT15_Org: 249.659000s GT15_Dsz: 102.386000s GT15_Dsz_avr: 111.772000s
GT16_Org: 374.596000s GT16_Dsz: 144.400000s GT16_Dsz_avr: 140.554000s
GT17_Org: 340.473000s GT17_Dsz: 149.212000s GT17_Dsz_avr: 136.686000s
GT18_Org: 372.729000s GT18_Dsz: 131.822000s GT18_Dsz_avr: 135.732000s
GT19_Org: 382.787000s GT19_Dsz: 174.115000s GT19_Dsz_avr: 155.053000s
GT20_Org: 386.583000s GT20_Dsz: 132.410000s GT20_Dsz_avr: 137.811000s
GT21_Org: 645.189000s GT21_Dsz: 204.312000s GT21_Dsz_avr: 212.384000s
GT22_Org: 427.434000s GT22_Dsz: 109.591000s GT22_Dsz_avr: 108.223000s
GT23_Org: 313.270000s GT23_Dsz: 124.296000s GT23_Dsz_avr: 115.733000s
GT24_Org: 433.594000s GT24_Dsz: 205.473000s GT24_Dsz_avr: 219.905000s
GT25_Org: 929.758000s GT25_Dsz: 353.479000s GT25_Dsz_avr: 393.891000s
GT26_Org: 1019.519000s GT26_Dsz: 423.686000s GT26_Dsz_avr: 402.564000s
GT27_Org: 834.369000s GT27_Dsz: 292.968000s GT27_Dsz_avr: 279.210000s
