299.779000s	173.703000s
506.303000s	164.943000s
461.508000s	140.815000s
718.821000s	296.838000s
270.139000s	103.665000s
318.993000s	121.996000s
325.136000s	124.642000s
689.837000s	247.088000s
599.012000s	183.797000s
312.225000s	110.108000s
478.744000s	168.628000s
283.139000s	122.759000s
435.757000s	144.613000s
231.353000s	94.551000s
298.335000s	128.232000s
395.607000s	154.263000s
381.089000s	157.417000s
323.903000s	126.407000s
364.144000s	155.616000s
366.139000s	123.353000s
570.899000s	197.060000s
400.014000s	124.810000s
290.652000s	118.686000s
398.076000s	198.635000s
848.090000s	325.451000s
943.151000s	427.481000s
745.236000s	243.181000s
